[2026-03-24T11:05:15.832Z] GET http://localhost:3000/_next/static/media/b7387a63dd068245-s.woff2 → 200 (?ms, ?B)
[2026-03-24T11:05:15.912Z] GET http://localhost:3000/logos/rm-dot-logo.png → 304 (37ms, ?B)
[2026-03-24T11:05:15.912Z] GET http://localhost:3000/logos/rm-no-dot-logo.png → 304 (37ms, ?B)
[2026-03-24T11:05:15.912Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWENl6mDC_E%2F0.jpg&w=640&q=75 → 200 (731ms, ?B)
[2026-03-24T11:05:15.912Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWBR2vdjN_x%2F0.jpg&w=640&q=75 → 200 (733ms, ?B)
[2026-03-24T11:05:15.912Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWFQQwhDA48%2F0.jpg&w=640&q=75 → 200 (732ms, ?B)
[2026-03-24T11:05:15.913Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWAGbpLiOGb%2F0.jpg&w=640&q=75 → 200 (732ms, ?B)
[2026-03-24T11:05:15.913Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWGoM6nDO7Z%2F0.jpg&w=640&q=75 → 200 (732ms, ?B)
[2026-03-24T11:05:15.913Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDVdeYXVCK9C%2F0.jpg&w=640&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:17.244Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-03-24T11:05:29.693Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWENl6mDC_E%2F0.jpg&w=828&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:29.693Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWBR2vdjN_x%2F0.jpg&w=828&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:29.693Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWGoM6nDO7Z%2F0.jpg&w=828&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:29.693Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDVdeYXVCK9C%2F0.jpg&w=828&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:29.693Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWAGbpLiOGb%2F0.jpg&w=828&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:29.693Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fdgzzf6k1ibya0.cloudfront.net%2Fposts%2FDWFQQwhDA48%2F0.jpg&w=828&q=75 → pending (?ms, ?B)
[2026-03-24T11:05:48.676Z] GET http://localhost:3000/about → pending (?ms, ?B)
[2026-03-24T11:05:50.461Z] GET http://localhost:3000/_next/static/webpack/08f0940bb4282de4.webpack.hot-update.json → pending (?ms, ?B)
[2026-03-24T11:05:50.840Z] GET http://localhost:3000/_next/static/webpack/webpack.08f0940bb4282de4.hot-update.js → 200 (16ms, ?B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/media/36966cca54120369-s.p.woff2 → 200 (?ms, ?B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1774350350623 → 200 (8ms, 183575B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1774350350623 → 200 (25ms, 141116B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1774350350623 → pending (?ms, ?B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (99ms, 227902B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/chunks/app/(app)/about/page.js → 200 (41ms, 157192B)
[2026-03-24T11:05:52.198Z] GET http://localhost:3000/_next/static/chunks/app/(app)/layout.js → 200 (114ms, 883836B)
[2026-03-24T11:05:52.249Z] GET http://localhost:3000/_next/static/media/b7387a63dd068245-s.woff2 → 200 (?ms, ?B)
[2026-03-24T11:05:52.286Z] GET http://localhost:3000/logos/rm-dot-logo.png → 304 (18ms, ?B)
